,Unnamed: 0,Name,Commercial Names
0,0,['Alcohol'],['No commercial names']
1,1,['Ayahuasca'],['No commercial uses']
2,2,"['Cannabis', 'Marijuana', 'Pot', 'Weed']",['Various brand names']
3,3,"['Central Nervous System Depressants', 'Benzos']","['Barbiturates', 'pentobarbital', 'Nembutal', 'Benzodiazepines', 'alprazolam', 'Xanax', 'chlorodiazepoxide', 'Librium', 'diazepam', 'Valium', 'lorazepam', 'Ativan', 'triazolam', 'Halicon', 'Sleep Medications', 'eszopiclone', 'Lunesta', 'zaleplon', 'Sonata', 'zolpidem', 'Ambien']"
4,4,"['Cocaine', 'Coke', 'Crack']",['Cocaine hydrochloride topical solution']
5,5,"['Gamma-hydroxybutyrate', 'GHB']","['Gamma-hydroxybutyrate', 'sodium oxybate', 'Xyrem']"
6,6,['Hallucinogens'],['No commercial names']
7,7,['Heroin'],['No commercial uses']
8,8,['Inhalants'],['Amyl nitrite']
9,9,['Ketamine'],"['Ketalar', 'Spravato', 'esketamine', 'Ketaset']"
10,10,['Khat'],['No commercial uses']
11,11,['Kratom'],['No commercial uses']
12,12,"['LSD', 'Acid']",['No commercial uses']
13,13,"['MDMA', 'Ecstasy', 'Molly']",['is being researched as therapy for Post Traumatic Stress Disorder (PTSD) under strict medical supervision.']
14,14,"['Mescaline', 'Peyote']",['No commercial uses']
15,15,"['Methamphetamine', 'Crystal', 'Meth']",['Desoxyn']
16,16,"['Over-the-Counter Medicines', 'Dextromethorphan', 'DXM']","['names include ""DM""']"
17,17,"['Over-the-Counter Medicines', 'Loperamide']","['Imodium', 'an OTC medication for diarrhea']"
18,18,"['PCP', 'Angel Dust']",['No commercial uses']
19,19,"['Prescription Opioids', 'Oxy', 'Percs']","['Codeine', 'Fentanyl', 'Actiq', 'Duragesic', 'Sublimaze', 'Hydrocodone', 'dihydrocodeinone', 'Vicodin', 'Norco', 'Zohydro', 'Hydromorphone', 'Dilaudid', 'Meperidine', 'Demerol', 'Methadone', 'Dolophine', 'Methadose', 'Morphine Duramorph', 'MS Contin', 'Oxycodone', 'OxyContin', 'Percodan', 'Percocet', 'Oxymorphone', 'Opana']"
20,20,"['Prescription Stimulants', 'Speed']","['Amphetamine', 'Adderall', 'Methylphenidate', 'Concerta', 'Ritalin']"
21,21,"['Psilocybin', 'Magic Mushrooms', 'Shrooms']",['being researched as therapy for treatment-resistant depression under strict medical supervision.']
22,22,"['Rohypnol', 'Flunitrazepam', 'Roofies']","['Flunitrazepam', 'Rohypnol']"
23,23,['Salvia'],['Salvia divinorum']
24,24,"['Steroids', 'Anabolic']","['Nandrolone', 'Oxandrin', 'oxandrolone', 'Anadrol', 'oxymetholone', 'Anadrol-50', 'testosterone cypionate', 'Depo-testosterone']"
25,25,"['Synthetic Cannabinoids', 'K2', 'Spice']",['No commercial uses']
26,26,"['Synthetic Cathinones', 'Bath Salts', 'Flakka']","['No commercial uses for ingested ""bath salts."" No relation to “Epsom salt,” sold as a bath product.']"
27,27,"['Tobacco', 'Nicotine', 'Vaping']",['Multiple brand names']
