,Title,Writer(s),Date,Link
0,"On crime, progress, no turnabout: Nutter happy with drop overall, but slayings up.","Graham, Troy. 
",2013-01-01,proquest.com/docview/1266634468/fulltext/FDC190CFEFEF44A9PQ/2
1,Ringing Out the Old: Tearful Andy Reid says goodbye to Eagles Fired coach preparing for next step,"McLane, Jeff. 
",2013-01-01,proquest.com/docview/1266634452/fulltext/FDC190CFEFEF44A9PQ/37
2,Need better prescription to stop drug abuse: Pennsylvania is taking steps to make it harder for drug abusers to get prescription medications.,,2013-01-03,proquest.com/docview/1266637065/fulltext/E84A22EC8F384B8BPQ/13
3,"Boy, 14, pleads no contest in Bucks: He was accused of a threat to go on a shooting rampage at Council Rock South. His mother is still in custody.","Moran, Robert. 
",2013-01-04,proquest.com/docview/1266912057/fulltext/51A554B063CD4A42PQ/20
4,"Glouco man gets 50 years for woman's murder in '02: Brian M. Mertz was convicted of killing Jennifer Whipkey, who had a daughter, 4.","Lai, Jonathan. 
",2013-01-04,proquest.com/docview/1266912465/fulltext/51A554B063CD4A42PQ/26
5,"Reid is leaving Eagles, but it's as a winner: Now that the decision has been made, fans can stop dwelling on the negative when they look back.",,2013-01-05,proquest.com/docview/1266912088/fulltext/AAD535B243E4765PQ/7
6,Drugs not the issue; illicit trade is: Legalization can restore trust in government and society.,"Prince, Erich. 
",2013-01-06,proquest.com/docview/1267154302/fulltext/902C6FE8E5E047BEPQ/31
7,"Two abuse defendants up for trial: A former priest and a former teacher, in court Monday, will wrap up this round of prosecutions in Phila.","Slobodzian, Joseph A. 
",2013-01-07,proquest.com/docview/1267154296/fulltext/48AA9629744A41AFPQ/16
8,"New complaint for drug squad: Man says officers beat him, stole cash in illegal raid.","Fazlollah, Mark. 
",2013-01-08,proquest.com/docview/1267860533/fulltext/CE257EEF423E4CDBPQ/3
9,"Ex-officer jailed for steroids: The judge, exceeding guidelines, gave Keith Gidelson four years.","Martin, John P. 
",2013-01-08,proquest.com/docview/1267860257/fulltext/CE257EEF423E4CDBPQ/18
